class,sentence
ကောက်ချက်ချစကား,ကောက်ချက်ချမိတယ်
ကောက်ချက်ချစကား,ဂါထွက်နေတယ်
ကောက်ချက်ချစကား,စိတ်တိုချင်စရာပဲ
ကောက်ချက်ချစကား,စွန်းလန်းတယ်
ကောက်ချက်ချစကား,တည်ငြိမ်သူကြီး
ကောက်ချက်ချစကား,ဒီတစ်ခါမှန်မှာပါ
ကောက်ချက်ချစကား,နည်းတောင်နည်းသေးတယ်
ကောက်ချက်ချစကား,နားမလည်ကြဘူး
ကောက်ချက်ချစကား,နားလည်ကြသားပဲ
ကောက်ချက်ချစကား,ပျံထွက်နေတာပဲ
ကောက်ချက်ချစကား,မသိဘူးထင်တယ်
ကောက်ချက်ချစကား,မသိလောက်သေးဘူး
ကောက်ချက်ချစကား,မဟုတ်လောက်ဘူး
ကောက်ချက်ချစကား,မိုက်လုံးကြီးလိုက်တာ
ကောက်ချက်ချစကား,မှန်ဖို့များပါတယ်
ကောက်ချက်ချစကား,မှားဖို့များပါတယ်
ကောက်ချက်ချစကား,မှားဦးမှာပါ
ကောက်ချက်ချစကား,ရက်စက်လိုက်တာ
ကောက်ချက်ချစကား,ရိုက်ပေါက်ပဲ
ကောက်ချက်ချစကား,ရိုင်းလိုက်တာ
ကောက်ချက်ချစကား,လန်ထွက်နေတယ်
ကောက်ချက်ချစကား,လွဲမှာပါ
ကောက်ချက်ချစကား,သနားဖို့ကောင်းတယ်
ကောက်ချက်ချစကား,သိပြီးသားဖြစ်မှာပါ
ကောက်ချက်ချစကား,သေချာပါတယ်
ကောက်ချက်ချစကား,ဟုတ်မှာပါ
ကောက်ချက်ချစကား,အရမ်းရိုင်းတယ်
ကောက်ချက်ချစကား,အလန်းပါလား
ကဲ့ရဲ့စကား,ချဉ်ပေါင်းရိုးမ
ကဲ့ရဲ့စကား,ဂျင်းကောင်ကြီး
ကဲ့ရဲ့စကား,ငကြောက်ကြီး
ကဲ့ရဲ့စကား,ငကြောင်ပါကွာ
ကဲ့ရဲ့စကား,ငပိန်း
ကဲ့ရဲ့စကား,စောက်ထုံပဲ
ကဲ့ရဲ့စကား,စောက်ပေါ
ကဲ့ရဲ့စကား,ဆေးသမားဖြစ်မှာပါ
ကဲ့ရဲ့စကား,တုံးလိုက်တာ
ကဲ့ရဲ့စကား,ဒါလေးတောင်မသိဘူး
ကဲ့ရဲ့စကား,ဒီကောင်အခွင့်အရေးသမား
ကဲ့ရဲ့စကား,ဒူနေတာ
ကဲ့ရဲ့စကား,ပိုင်းလုံးမ
ကဲ့ရဲ့စကား,ဖျင်းလိုက်တာ
ကဲ့ရဲ့စကား,ဘာမှလည်းမသိဘူး
ကဲ့ရဲ့စကား,ရုပ်​ဆိုးလိုက်တာ
ကဲ့ရဲ့စကား,ရူးနေလားမသိဘူး
ကဲ့ရဲ့စကား,သာကူးပါကွာ
ကဲ့ရဲ့စကား,သိလည်းမသိဘူး
ကဲ့ရဲ့စကား,အရမ်းရုပ်ဆိုးတယ်
ကဲ့ရဲ့စကား,အလုပ်မရှိကြောင်ရေချိုးနေတယ်
ကဲ့ရဲ့စကား,အားအားယားယား
ကျေးဇူးစကား,ကျေးဇူး
ကျေးဇူးစကား,ကျေးဇူးတင်တယ်
ကျေးဇူးစကား,ကျေးဇူးပါ
ကျေးဇူးစကား,ကျေးဇူးပဲ
ကျေးဇူးစကား,ကျေးဇူးအများကြီးတင်တယ်
ကျေးဇူးစကား,ဘယ်လိုကျေးဇူးတင်ရမှန်းမသိဘူး
ကျေးဇူးစကား,အရမ်းကျေးဇူးတင်တယ်
ခနဲ့စကား,ဂေါက်နာလား
ခနဲ့စကား,ဂေါက်နေတာလား
ခနဲ့စကား,ဂွမ်းပြီ
ခနဲ့စကား,သူကသိပ်တော်တာဆိုတော့
ခနဲ့စကား,ဟာသပဲ
ခနဲ့စကား,အဲတော့ကပြရမလား
ခံစားချက်ပြစကား,ကားစီးချင်တယ်
ခံစားချက်ပြစကား,ကောင်းပြီလေ
ခံစားချက်ပြစကား,ကျေနပ်ပါတယ်
ခံစားချက်ပြစကား,ကြေကွဲနေတယ်
ခံစားချက်ပြစကား,ကြောက်ပါပြီ
ခံစားချက်ပြစကား,ခက်ပါတယ်ဗျာ
ခံစားချက်ပြစကား,ခုမှပဲစိတ်အေးရတယ်
ခံစားချက်ပြစကား,ချမ်းတယ်
ခံစားချက်ပြစကား,ချေတယ်နော်
ခံစားချက်ပြစကား,ဂိမ်းဆော့ချင်တယ်
ခံစားချက်ပြစကား,ဂျင်းလာထည့်နေတယ်
ခံစားချက်ပြစကား,ငိုချင်နေတာနော်
ခံစားချက်ပြစကား,စားချင်တယ်
ခံစားချက်ပြစကား,စိတ်ကောက်ပြီ
ခံစားချက်ပြစကား,စိတ်ရှုပ်တယ်
ခံစားချက်ပြစကား,ဆေးထိုးတယ်
ခံစားချက်ပြစကား,ဆေးပါကွာ
ခံစားချက်ပြစကား,တော်ချင်လိုက်တာ
ခံစားချက်ပြစကား,တွေ့ချင်လှပြီ
ခံစားချက်ပြစကား,နည်းနည်းတော့များသွားပြီ
ခံစားချက်ပြစကား,နားအေးချင်တယ်
ခံစားချက်ပြစကား,နားအေးပါးအေးနေချင်တယ်
ခံစားချက်ပြစကား,ပင်ပန်းတယ်
ခံစားချက်ပြစကား,ပူလိုက်တာ
ခံစားချက်ပြစကား,ပျင်းစရာကောင်းလိုက်တာ
ခံစားချက်ပြစကား,ပျင်းတယ်
ခံစားချက်ပြစကား,ပျင်းဖို့ကောင်းလိုက်တာ
ခံစားချက်ပြစကား,ပျင်းလိုက်တာ
ခံစားချက်ပြစကား,ဗိုက်ဆာတယ်
ခံစားချက်ပြစကား,ဘဝကခါးတယ်
ခံစားချက်ပြစကား,ရွံစရာကြီး
ခံစားချက်ပြစကား,လာဖောမနေနဲ့
ခံစားချက်ပြစကား,လိုချင်တယ်
ခံစားချက်ပြစကား,လိုချင်မိတယ်
ခံစားချက်ပြစကား,လွမ်းတယ်
ခံစားချက်ပြစကား,လွမ်းတာထက်ပိုပါတယ်
ခံစားချက်ပြစကား,ဝမ်းနည်းစိတ်ပျက်ဖို့ကောင်း
ခံစားချက်ပြစကား,သတိရနေတယ်
ခံစားချက်ပြစကား,သတိရလို့
ခံစားချက်ပြစကား,သာယာပါတယ်
ခံစားချက်ပြစကား,သာသာယာယာပါပဲ
ခံစားချက်ပြစကား,သိပြီသိပြီ
ခံစားချက်ပြစကား,သောက်ချင်တယ်
ခံစားချက်ပြစကား,သောက်ပိုတွေမလုပ်တတ်ပါ
ခံစားချက်ပြစကား,အသည်းကွဲနေတယ်
ခံစားချက်ပြစကား,အိပ်ချင်တယ်
ခံစားချက်ပြစကား,အိပ်လို့မပျော်ဘူး
ခံစားချက်ပြစကား,အိပ်လို့မရဘူး
ခံစားချက်ပြစကား,အိုက်တယ်
ခံစားချက်ပြစကား,အေးဆေးပါ
ခံစားချက်ပြစကား,အေးလိုက်တာ
ခံစားချက်ပြစကား,အဲ့လိုတော်ချင်တယ်
ချီးမွမ်းစကား,ကျွမ်းလှချည်လားကွာ
ချီးမွမ်းစကား,ချစ်စရာကောင်းတယ်
ချီးမွမ်းစကား,ချီးမွမ်းပါတယ်
ချီးမွမ်းစကား,ချောလိုက်တာ
